run,Rmax,Robs,size,connectance,sigma,mu,obs,pred,Rho
1,1.2,1.0960541659235514,250,0.6884294296614826,0.4669728100537747,0.20355819258838892,0.029533776480865283,0.05537592053027842,0.5372341741836407
2,1.2,1.189944109349699,250,0.7130367839708924,0.2503977242098369,-0.28466482227668166,0.14796794112260864,0.17200343337714083,0.1557009697325415
3,1.2,1.4434546332047105,250,0.06251446856185794,0.47577490790251986,0.11746431235224009,0.25077505154110563,0.16614250399165945,0.3430898452655538
4,1.2,1.5791131663628544,250,0.466798648936674,0.32562413794447975,0.03373780194669962,0.18494220984513854,0.1646429181269577,0.2729696118269722
5,1.2,1.2291870767304556,250,0.08359244838356972,0.3907732506212388,0.03445163415744901,0.12414749391579712,0.1616590649808371,0.27833780070438774
6,1.2,1.3708501745175727,250,0.8398836839478463,0.40179425266190655,0.11515606800094247,0.0296109483259493,0.044909616779254695,0.8815099060956354
7,1.2,1.227577037692128,250,0.9017754062078893,0.4083066812636124,-0.6367573095485568,0.164218617605177,0.18519340991740413,0.08833347704653291
8,1.2,1.159120066636261,250,0.35299244266934693,0.241152525965284,-0.20085425209254026,0.19051184409242736,0.16558365943897146,0.21475973857749858
9,1.2,1.1982531372784462,250,0.8855808996595442,0.22751532029261945,-0.31005360512062907,0.14720267159217018,0.17100748553943249,0.1585587195618338
10,1.2,1.1925598394177572,250,0.9749807163607329,0.12977355679506775,-0.4034547423943877,0.18351472807903435,0.1632990429055406,0.23868949694524333
11,1.2,1.183269197062612,250,0.4752860723529011,0.2509901812091714,-0.22314836643636227,0.17619932775154484,0.16841358095284134,0.1837390932820686
12,1.2,1.2003089467194406,250,0.8340272891800851,0.29271354606954014,-0.5094792251475155,0.1806509615225924,0.17832318212696197,0.11309036066440703
13,1.2,1.2182368785273827,250,0.7965212024282664,0.3232912423968338,-0.1772237243130803,0.15857851870977493,0.17602526216477443,0.14344206471415918
14,1.2,1.2834583450954098,250,0.5119782520923764,0.37489190784918014,0.04570211376994848,0.022622575701765416,0.027450625709147945,0.46991033881786026
15,1.2,1.1010658070805133,250,0.6009928595740348,0.46487526478658214,0.14476334070786834,0.022289745762048303,0.04193650090244776,0.8076906380225765
16,1.2,1.1885666464731641,250,0.7782154949381948,0.34669412370232455,-0.3279584781266749,0.1791139575287932,0.17882097854253434,0.11152936952494963
17,1.2,1.2544277206255237,250,0.46633514226414263,0.36604171348615494,0.059437970630824566,0.024662485414606958,0.02321327055702759,0.44512786796804443
18,1.2,1.1956325541232744,250,0.4213110189884901,0.27437255231392405,-0.13299321150407195,0.17775944043185915,0.1670423326373979,0.18673241888758282
19,1.2,1.1872737110389362,250,0.9592341801617295,0.41267694049162773,-0.18721811566501856,0.17744790965601134,0.18363826887945778,0.10024312079427997
20,1.2,1.1146787976181751,250,0.9726578439585865,0.3760005013143917,0.07447553379461169,0.01954534189469418,0.03642449331392352,0.5088495955477127
21,1.2,1.181877806372343,250,0.7198585602454841,0.2672100259049433,-0.35269629769027233,0.15754862783180723,0.17439852802025868,0.1303298216511352
22,1.2,1.3408227304211529,250,0.44117737957276404,0.49972035296077755,0.0767947263084352,0.02636194388410801,0.023989659513927238,0.4535465145913554
