size,connectance,sigma,mu_u,mu_l,Robs
250,0.5,0.25,-1.05,0.05,0.9880935219144349
250,0.5,0.25,-1.05,0.05,1.0086469755761307
250,0.5,0.25,-1.05,0.05,1.0409028017227684
250,0.5,0.25,-1.05,0.05,1.0585277342368744
250,0.5,0.25,-1.05,0.05,1.040113136221354
250,0.5,0.25,-1.05,0.05,1.1106375468105265
250,0.5,0.25,-1.05,0.05,1.0328751514182093
250,0.5,0.25,-1.05,0.05,0.9959262110043315
250,0.5,0.25,-1.05,0.05,1.023574264302583
250,0.5,0.25,-1.05,0.05,1.0354245532716246
250,0.5,0.25,-1.05,0.05,1.0752749928379366
250,0.5,0.25,-1.05,0.05,1.096417003704259
250,0.5,0.25,-1.05,0.05,1.07063800232911
250,0.5,0.25,-1.05,0.05,1.057101147555858
250,0.5,0.25,-1.05,0.05,1.0465164437565129
250,0.5,0.25,-1.05,0.05,0.9759444873064342
250,0.5,0.25,-1.05,0.05,1.0719951134552514
250,0.5,0.25,-1.05,0.05,1.067300463551451
250,0.5,0.25,-1.05,0.05,0.9973727258734225
250,0.5,0.25,-1.05,0.05,0.9508149061961012
250,0.5,0.25,-1.05,0.05,1.1275237221742214
250,0.5,0.25,-1.05,0.05,0.9708187457545486
250,0.5,0.25,-1.05,0.05,1.0263007039854153
250,0.5,0.25,-1.05,0.05,1.0776431497317434
250,0.5,0.25,-1.05,0.05,0.9687149586585442
250,0.5,0.25,-1.05,0.05,1.0052312533851055
250,0.5,0.25,-1.05,0.05,1.0487362957894635
250,0.5,0.25,-1.05,0.05,1.032155440489229
250,0.5,0.25,-1.05,0.05,1.0604407981104425
250,0.5,0.25,-1.05,0.05,1.0409216861128452
250,0.5,0.25,-1.05,0.05,1.0946596527924481
250,0.5,0.25,-1.05,0.05,1.1148881220790854
250,0.5,0.25,-1.05,0.05,0.9830327968008694
250,0.5,0.25,-1.05,0.05,1.066682524573689
250,0.5,0.25,-1.05,0.05,0.9859746974339904
250,0.5,0.25,-1.05,0.05,0.9114123131898743
250,0.5,0.25,-1.05,0.05,1.045353033451108
250,0.5,0.25,-1.05,0.05,1.05438211618817
250,0.5,0.25,-1.05,0.05,1.0403976438719424
250,0.5,0.25,-1.05,0.05,1.111317072421268
250,0.5,0.25,-1.05,0.05,1.1356109610413703
250,0.5,0.25,-1.05,0.05,0.9935680819988641
250,0.5,0.25,-1.05,0.05,1.069181423079215
250,0.5,0.25,-1.05,0.05,1.0616222469187422
250,0.5,0.25,-1.05,0.05,0.9975723581268744
250,0.5,0.25,-1.05,0.05,1.0215596292591373
250,0.5,0.25,-1.05,0.05,1.001574105688514
250,0.5,0.25,-1.05,0.05,1.0391214214251083
250,0.5,0.25,-1.05,0.05,1.0291823966420306
250,0.5,0.25,-1.05,0.05,1.0546867630675574
250,0.5,0.25,-1.05,0.05,0.9441028723389225
250,0.5,0.25,-1.05,0.05,1.0761068372635447
